stop_id,stop_name,stop_lat,stop_lon
BEST_37272,Manpada,19.2351,72.976042
BEST_37237,Manpada,19.235236,72.976318
TMT_4835,Manpada,19.2018,73.0017
KDMT_672,Runwal City Gate,19.18329,73.08998
KDMT_128,Premier Colony,19.18031,73.08863
KDMT_129,Kolegaon Fata,19.17676,73.08675
KDMT_130,Vaibhav Nagari,19.17433,73.08502
KDMT_131,Katai Naka,19.16911,73.07983
KDMT_401,Palava,19.16501,73.07561
KDMT_514,Kaldubai Chowk,19.16073,73.07576
KDMT_362,Chandrash Lodha School,19.15943,73.07595
KDMT_515,CHH. Shivaji Maharaj Chowk (Bhiwandi),19.15749,73.07604
KDMT_400,Gaon Devi Chouk,19.15564,73.07626
KDMT_399,Nilje Station,19.1557,73.0789
KDMT_619,Shivpremi Udyan/Bilweshar Mandir,19.15304,73.07514
KDMT_620,Casa Rio Gate No.2,19.15166,73.07661
KDMT_268,New Power House,19.20693,73.10258
KDMT_114,Mamta Hospital/ Aims Hospital,19.20799,73.10362
KDMT_397,Milapnagar,19.20948,73.1051
TMT_3345,Milap Nagar,19.2119763,73.1074934
TMT_3374,Milap Nagar,19.211708,73.10729
KDMT_316,Milapnagar Coner,19.21164,73.10727
KDMT_317,Pendharkar,19.21321,73.10563
KDMT_75,Chhatrapati Shivaji Maharaj Chowk (Ajdegaon),19.21469,73.10203
KDMT_269,Chhatrapati Shivaji Maharaj Chowk (Ajdegaon),19.21451,73.102
KDMT_270,Shelar Naka,19.21606,73.09909
KDMT_76,Shelar Naka,19.2162,73.09906
TMT_3342,Shelar Naka,19.216249,73.099022
TMT_3377,Shelar Naka,19.215998,73.0986758
KDMT_271,Manjunath College/Rbt Highschool,19.21535,73.09721
KDMT_77,Manjunath College/Rbt Highschool,19.21546,73.09712
KDMT_78,Parasmani,19.21554,73.09409
KDMT_360,Brahman Sabha,19.21756,73.09166
KDMT_575,Ganesh Mandir D,19.20475,73.1048
KDMT_117,Model College,19.20352,73.1036
KDMT_704,Bandish Hotel Chowk,19.21799,73.10332
KDMT_703,Omkar School,19.22086,73.10346
KDMT_702,Vasant Park Sosa/Balaji Angan,19.22432,73.10195
KDMT_699,Mhasoba Chowk/Thakurli Station,19.22666,73.1012
KDMT_700,Icici Bank,19.22747,73.10412
KDMT_701,Sarvodaya Mangal Society,19.2293,73.10964
KDMT_696,Gavdevi Mandir,19.23006,73.11224
KDMT_698,Kachore Koliwada,19.23097,73.11473
KDMT_697,Kachore Mohne Srishti,19.23112,73.1177
KDMT_5,Ful Market,19.23486,73.12183
TMT_4791,Vrindavan Society,19.208423183333334,72.98280933333334
TMT_446,Rabodi,19.205988185714286,72.98208625714285
TMT_4793,Shrirang Society,19.206075833333333,72.9801621
TMT_958,Shrirang Society,19.206081,72.98022493333333
TMT_3132,Shrirang Society,19.2060496,72.9802111
TMT_3127,Shrirang Society,19.2061632,72.9801925
TMT_555,K Villa,19.20334884117647,72.97881030588235
TMT_957,K Villa,19.2034063,72.97870086666667
TMT_3045,K Villa,19.2034111,72.9787083
TMT_3965,K Villa,19.2105705,72.9772887
TMT_1709,Police Line,19.201210857142858,72.9794328392857
TMT_464,Police Line,19.2011175,72.9795894
TMT_461,Police Line,19.2012998,72.9793077
TMT_1400,Police Line,19.20111095,72.97959215
TMT_1369,Police Line,19.201313,72.9792961
TMT_2594,Police Line,19.201245,72.9792898
TMT_2633,Police Line,19.2013,72.9793272
TMT_2625,Police Line,19.2010977,72.9795948
TMT_2751,Police Line,19.2010994,72.97959
TMT_2757,Police Line,19.201295,72.9793298
TMT_3966,Police Line,19.2085323,72.9771066
TMT_1202,Civil Hospital/Court,19.19744821818182,72.97829127954546
TMT_666,Civil Hospital/Court,19.199166,72.9779665
TMT_4051,Civil Hospital/Court,19.196498,72.9772899
TMT_1367,Civil Hospital/Court,19.1938708,72.9767236
TMT_4226,Civil Hospital/Court,19.1969733,72.9772103
TMT_2031,Civil Hospital/Court,19.1973665,72.9843573
TMT_2036,Civil Hospital/Court,19.1966458,72.9835308
TMT_2083,Civil Hospital/Court,19.196496,72.977324
TMT_2781,Civil Hospital/Court,19.1968,72.98065
TMT_4535,Civil Hospital/Court,19.198,72.98124999999999
TMT_3502,Civil Hospital/Court,19.1968522,72.9773235
TMT_3504,Civil Hospital/Court,19.197103,72.977235
TMT_742,Talao Pali,19.193800605,72.97680725000001
TMT_4055,Talao Pali,19.1938708,72.9767236
TMT_3503,Talao Pali,19.1943626,72.9769565
TMT_452,Prabhat Cinema,19.1906742,72.97632656666667
TMT_1550,Prabhat Cinema,19.19051094285714,72.97633608285715
TMT_4054,Prabhat Cinema,19.1905844,72.976113
TMT_2597,Prabhat Cinema,19.191758,72.968743
TMT_1084_2,Thane Station Satis (West),19.187223328616664,72.97715430178333
TMT_458,Thane Station Satis (West),19.187034349999998,72.9772095
TMT_511,Thane Station Satis (West),19.1872821,72.9771954
TMT_4465,Thane Station Satis (West),19.1872815,72.9771973
TMT_918,Thane Station Satis (West),19.194387,72.9771978
TMT_1042,Thane Station Satis (West),19.223671,72.977668
TMT_1136,Thane Station Satis (West),19.225802,72.9742503
TMT_2709,Thane Station Satis (West),19.2324,72.9808
TMT_463,Rabodi Chowk,19.2032128,72.9808645
TMT_462,Rabodi Chowk,19.2032346,72.9808645
TMT_465,Tembhi Naka,19.1989085,72.9788834
TMT_460,Tembhi Naka,19.199068,72.9789371
TMT_988,Tembhi Naka,19.1978,72.9761
TMT_2267,Tembhi Naka,19.19744405,72.97671025
TMT_2264,Tembhi Naka,19.19736805,72.97733755
TMT_3968,Tembhi Naka,19.2073055,72.9773889
TMT_466,Jambhali Naka,19.1943598,72.9770275
TMT_459,Jambhali Naka,19.1937139,72.9766869
TMT_916,Jambhali Naka,19.194151129032257,72.97689555806451
TMT_1040,Jambhali Naka,19.191758,72.968743
TMT_510,A K Joshi School,19.18759407647059,72.97159484117647
TMT_1311,A K Joshi School,19.1876184,72.9715137
TMT_471,Ice Factory,19.187196416666666,72.96879996666667
TMT_509,Ice Factory,19.187359255555556,72.96865650000001
TMT_3140,Ice Factory,19.1889896,72.9677067
TMT_3119,Ice Factory,19.1886714,72.9675226
TMT_2711,Ice Factory,19.2272,72.9807
TMT_2706,Ice Factory,19.2273,72.9805
VVMT_296,Ice Factory,19.4556696282625,72.8166135698425
TMT_4026,Shahu Market,19.18883155,72.96760508
TMT_2676,Shahu Market,19.1889877,72.9676916
TMT_3024,Shahu Market,19.1889832,72.9677232
TMT_1086,Hariniwas,19.19067231111111,72.96776633333333
TMT_4021,Hariniwas,19.1910109,72.9679203
TMT_4027,Hariniwas,19.19114925,72.96809540000001
TMT_690,Hariniwas,19.1904633,72.9676829
TMT_684,Hariniwas,19.1910114,72.9679196
TMT_1111,Hariniwas,19.191158466666668,72.96775783333334
TMT_1086_2,Hariniwas,19.19115,72.9682
TMT_4534,Hariniwas,19.19125,72.96764999999999
TMT_2209_2,Hariniwas,19.191758,72.968743
TMT_2670,Hariniwas,19.1914531,72.9674359
TMT_3023,Hariniwas,19.1910127,72.9679207
TMT_3139,Hariniwas,19.1910365,72.967913
TMT_3120,Hariniwas,19.1904622,72.9677019
TMT_2430,Hariniwas,19.212212,73.0374071
TMT_2386,Hariniwas,19.2119866,73.0373213
TMT_2713,Hariniwas,19.2256,72.9809
TMT_2705,Hariniwas,19.2255,72.9807
TMT_474,Forest Office,19.18897648,72.96460614
TMT_578,Forest Office,19.1890289,72.9644619
